banheiros;quartos;andar;area;suites;aluguel;custo;condo_iptu;vagas;nao_mobiliado;animal;arm_coz;arm_quar;box;arm_ban;sol_man;silencio;novo;luz;sol_tar;vista_livre;chuveiro_ele;tomada_nova;gas_enc;porteiro;elevador;salao_fest;piscina;churrasqueira;metro;esp_gourmet;quadra;academia;hipercentro;zona_sul;zona_norte;zona_leste;zona_oeste;apartamento;casa;latitude;longitude
3;4;0;300;1;10000;10859;695;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;-19,9427956;-43,9222862
5;5;0;441;2;10000;10734;553;8;1;1;1;1;1;1;1;1;0;1;1;1;0;0;1;0;0;0;1;1;0;1;1;0;0;0;1;0;0;0;1;-19,8533613;-43,9845304
4;4;9;205;2;5980;10686;4626;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;-19,9769104;-43,943475
6;6;0;1000;4;8750;10540;1632;10;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;0;1;1;1;0;1;0;0;0;0;1;-19,9646847;-43,9444798
4;4;12;170;2;8000;10539;2432;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;-19,9441045;-43,9318621
3;4;0;260;2;9700;10471;611;2;0;1;1;1;1;1;1;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;-19,879843;-43,99803
2;4;3;300;1;8000;10357;2250;2;1;1;1;1;1;1;1;1;0;1;1;1;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;-19,9309377;-43,9370104
4;4;0;450;0;10000;10236;55;10;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;-19,9268946;-43,9399328
5;5;8;390;2;8000;10204;2097;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;-19,9437279;-43,9541647
7;5;0;850;4;10000;10165;1;8;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;1;0;0;0;1;0;0;0;1;-19,853921;-43,962505
4;4;11;209;2;7300;10125;2727;4;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;1;1;1;1;1;0;1;1;1;0;1;0;0;0;1;0;-19,947322;-43,932605
4;2;22;180;2;8000;10107;2000;4;1;0;0;0;0;0;1;1;0;1;0;1;0;1;1;1;1;1;1;1;0;1;1;1;0;1;0;0;0;1;0;-19,9844602;-43,9368201
4;4;8;183;2;7500;10098;2498;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;-19,953531;-43,932439
5;4;9;312;2;8000;10064;1957;4;1;1;0;0;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;1;0;0;0;1;0;0;0;1;0;-19,9455626;-43,9437385
6;6;0;788;2;9500;10017;345;7;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;0;1;0;0;0;1;0;0;0;0;1;-19,9488513;-43,950817
4;4;0;370;3;8800;10003;1044;4;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;-19,930127;-43,923792
3;3;9;100;1;8800;9993;1075;0;1;1;0;0;0;0;1;0;0;1;1;1;0;1;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;-19,934003;-43,932872
3;4;11;203;2;6400;9957;3471;3;1;0;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;1;1;1;0;0;0;0;1;0;-19,930936;-43,953831
3;4;17;167;2;8000;9900;1793;3;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;0;0;1;0;0;0;1;0;-19,9778885;-43,9332093
3;4;20;311;1;6900;9827;2835;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;-19,9485541;-43,918973
6;6;0;274;3;9000;9819;671;2;1;1;1;1;0;0;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;-19,9265172;-43,9425667
4;4;5;158;2;7000;9788;2694;4;1;1;0;0;0;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;0;1;0;0;0;1;0;-19,9530681;-43,9344548
2;5;0;350;1;9000;9750;602;7;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;-19,8569045;-43,985774
4;5;0;360;1;9000;9748;600;4;1;1;1;1;1;0;1;1;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;-19,9551659;-43,951559
4;3;10;220;1;8000;9654;1547;3;1;1;0;0;1;1;1;1;1;1;1;1;0;1;1;0;1;1;0;1;0;1;1;1;0;1;0;0;0;1;0;-19,944601;-43,927462
4;4;9;180;2;6600;9643;2955;4;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;-19,9346145;-43,9545372
4;6;0;500;2;8990;9642;489;10;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;-19,9469755;-43,9443121
5;5;0;480;4;8500;9610;956;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;-19,9688971;-43,9378432
2;4;3;300;1;7500;9600;2000;2;0;1;1;1;1;0;1;0;1;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;-19,9369324;-43,9399842
4;4;5;210;2;7000;9514;2420;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;-19,9328049;-43,960803
4;3;10;200;3;5500;9495;3921;4;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;1;1;0;0;1;0;0;0;1;0;-19,9570059;-43,9348792
5;4;6;320;4;5000;9487;4420;4;1;0;1;1;1;1;1;0;0;1;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;-19,945016;-43,9196202
3;4;10;320;2;7000;9394;2300;3;0;0;0;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;0;0;0;0;1;0;1;0;0;0;0;1;0;-19,929726;-43,9533137
4;4;7;250;2;8000;9241;1134;6;1;1;0;0;0;0;1;1;0;1;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;-19,9747127;-43,9717239
4;4;8;222;2;8000;9226;1119;5;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;-19,9620013;-43,9542855
3;5;3;330;1;7000;9190;2096;3;1;1;1;1;1;1;1;0;0;1;1;1;0;0;1;1;1;1;0;1;0;1;0;1;1;0;0;0;0;1;0;-19,9371018;-43,9420807
